,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,UPC,Price Change %,modifiedUPC
167,3/7/2024 to 3/13/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1585.0,2024-03-07,,1740053540,,0001740053540
219,3/7/2024 to 3/13/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),368.0,2024-03-07,,4000042431,,0004000042431
225,3/7/2024 to 3/13/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),353.0,2024-03-07,,4000000032,,0004000000032
713,3/7/2024 to 3/13/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,127.0,2024-03-07,,2780006794,,0002780006794
871,3/7/2024 to 3/13/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,178.0,2024-03-07,,7184516100,,0007184516100
926,3/7/2024 to 3/13/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),103.0,2024-03-07,,9626511208,,0009626511208
1466,3/7/2024 to 3/13/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,112.0,2024-03-07,,7184516163,,0007184516163
1534,3/7/2024 to 3/13/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,56.0,2024-03-07,,80327530608,,0080327530608
1563,3/7/2024 to 3/13/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,64.0,2024-03-07,,7184516162,,0007184516162
1817,3/7/2024 to 3/13/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,70.0,2024-03-07,,7184516174,,0007184516174
2045,3/7/2024 to 3/13/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,61.0,2024-03-07,,4133109046,,0004133109046
2143,3/7/2024 to 3/13/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,60.0,2024-03-07,,8704177014,,0008704177014
3375,3/7/2024 to 3/13/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,33.0,2024-03-07,,5100007625,,0005100007625
3488,3/7/2024 to 3/13/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,27.0,2024-03-07,,89677500277,,0089677500277
53876,3/14/2024 to 3/20/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,81.0,2024-03-14,-94.88958990536278,1740053540,-4.803493449781648,0001740053540
53945,3/14/2024 to 3/20/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),404.0,2024-03-14,14.44759206798867,4000000032,2.400000000000002,0004000000032
53950,3/14/2024 to 3/20/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),419.0,2024-03-14,13.858695652173903,4000042431,-7.913669064748197,0004000042431
54432,3/14/2024 to 3/20/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,174.0,2024-03-14,37.00787401574803,2780006794,-0.278551532033422,0002780006794
54601,3/14/2024 to 3/20/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,119.0,2024-03-14,-33.14606741573034,7184516100,-2.7118644067796627,0007184516100
54644,3/14/2024 to 3/20/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),156.0,2024-03-14,51.45631067961165,9626511208,-1.0101010101010055,0009626511208
55108,3/14/2024 to 3/20/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,101.0,2024-03-14,-9.82142857142857,7184516163,-2.7118644067796627,0007184516163
55254,3/14/2024 to 3/20/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,57.0,2024-03-14,1.7857142857142794,80327530608,-14.28571428571428,0080327530608
55365,3/14/2024 to 3/20/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,71.0,2024-03-14,10.9375,7184516162,-2.7118644067796627,0007184516162
