,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,Previous Week Quantity,Total Quantity_x,Previous Week Total Quantity_x,Total Quantity_y,Previous Week Total Quantity_y,UPC,Price Change %,modifiedUPC,Dollar Change
962,3/7/2024 to 3/13/2024,EL JIBARITO ARROZ GRANO MEDIANO 3 LB,0004133102020,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
2671,3/7/2024 to 3/13/2024,CHIPS AHOY CHOCO CHIPS 13.0 OZ,0004400003219,GALLETAS,545.0,2024-03-07,,545.0,,,774092.0,,774092.0,,4400003219,,0004400003219,
3025,3/7/2024 to 3/13/2024,RITZ CRACKERS 13.7 OZ,0004400003111,GALLETAS,818.0,2024-03-07,,818.0,,,774092.0,,774092.0,,4400003111,,0004400003111,
3240,3/7/2024 to 3/13/2024,NILLA MINI WAFERS SINGLE SERVE 12 CT,0004400003128,GALLETAS,20.0,2024-03-07,,20.0,,,774092.0,,774092.0,,4400003128,,0004400003128,
3304,3/7/2024 to 3/13/2024,NABISCO CHIP AHOY MINI S SERVE 12 PK,0004400002027,GALLETAS,106.0,2024-03-07,,106.0,,,774092.0,,774092.0,,4400002027,,0004400002027,
3334,3/7/2024 to 3/13/2024,OREO MINI SINGLE SERVE 12 PK,0004400002028,GALLETAS,257.0,2024-03-07,,257.0,,,774092.0,,774092.0,,4400002028,,0004400002028,
3535,3/7/2024 to 3/13/2024,RICO ARROZ MEDIANO 3 LBS,0074370900011,ARROZ,8060.0,2024-03-07,,8060.0,,,774092.0,,774092.0,,74370900011,,0074370900011,
3673,3/7/2024 to 3/13/2024,GOYA ARROZ CON GANDULES 7 OZ,0004133112661,ARROZ,6.0,2024-03-07,,6.0,,,774092.0,,774092.0,,,,,
3677,3/7/2024 to 3/13/2024,GOYA ARROZ AMARILLO 7 OZ,0004133112662,ARROZ,20.0,2024-03-07,,20.0,,,774092.0,,774092.0,,,,,
3687,3/7/2024 to 3/13/2024,GOYA ARROZ CON HABICHUELA NEGRA 7 OZ,0004133112665,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
3695,3/7/2024 to 3/13/2024,GOYA ARROZ PRIMAVERA 7 OZ,0004133112664,ARROZ,14.0,2024-03-07,,14.0,,,774092.0,,774092.0,,,,,
3711,3/7/2024 to 3/13/2024,GOYA ARROZ HABICHUELAS COLORADA 7 OZ,0004133112666,ARROZ,3.0,2024-03-07,,3.0,,,774092.0,,774092.0,,,,,
3712,3/7/2024 to 3/13/2024,GOYA RICE W/CARROTS & ONION 7 OZ,0004133112668,ARROZ,6.0,2024-03-07,,6.0,,,774092.0,,774092.0,,,,,
3715,3/7/2024 to 3/13/2024,GOYA ARROZ CON TOMATE 7 OZ,0004133112675,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
3718,3/7/2024 to 3/13/2024,GOYA ARROZ BROCCOLI & CHEDD 7 OZ,0004133112667,ARROZ,3.0,2024-03-07,,3.0,,,774092.0,,774092.0,,,,,
3729,3/7/2024 to 3/13/2024,GOYA ARROZ SABOR A POLLO 7 OZ,0004133112657,ARROZ,6.0,2024-03-07,,6.0,,,774092.0,,774092.0,,,,,
3992,3/7/2024 to 3/13/2024,RICO ARROZ GRANO LARGO 50 LBS,0074370900028,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
3994,3/7/2024 to 3/13/2024,RICO ARROZ PARBOILED GRANO LARGO 3LB,0074370900087,ARROZ,30.0,2024-03-07,,30.0,,,774092.0,,774092.0,,,,,
3999,3/7/2024 to 3/13/2024,RICO ARROZ GRANO MEDIANO 10 LB,0074370900113,ARROZ,24.0,2024-03-07,,24.0,,,774092.0,,774092.0,,,,,
4003,3/7/2024 to 3/13/2024,RICO ARROZ JAZMIN 2 LB,0074370900103,ARROZ,171.0,2024-03-07,,171.0,,,774092.0,,774092.0,,74370900103,,0074370900103,
