,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC
86736,3/7/2024 to 3/13/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1585.0,2024-03-07,,1585.0,,1740053540,,0001740053540
86737,3/14/2024 to 3/20/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,81.0,2024-03-14,-0.9488958990536278,833.0,-47.44479495268139,1740053540,-4.803493449781648,0001740053540
86738,3/21/2024 to 3/27/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,91.0,2024-03-21,0.1234567901234569,585.6666666666666,-29.691876750700285,1740053540,5.045871559633031,0001740053540
86739,3/28/2024 to 4/3/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,110.0,2024-03-28,0.20879120879120872,466.75,-20.30449630051223,1740053540,-4.803493449781648,0001740053540
86740,4/4/2024 to 4/10/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1398.0,2024-04-04,11.709090909090909,420.0,-10.016068559185864,1740053540,5.045871559633031,0001740053540
86741,4/11/2024 to 4/17/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,837.0,2024-04-11,-0.4012875536480687,609.0,44.99999999999999,1740053540,-4.803493449781648,0001740053540
86742,4/18/2024 to 4/24/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,88.0,2024-04-18,-0.8948626045400239,608.25,-0.12315270935960854,1740053540,5.045871559633031,0001740053540
86743,4/25/2024 to 5/1/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,74.0,2024-04-25,-0.15909090909090906,599.25,-1.479654747225645,1740053540,-4.803493449781648,0001740053540
86744,5/2/2024 to 5/8/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,170.0,2024-05-02,1.2972972972972974,292.25,-51.23070504797664,1740053540,0.4587155963302614,0001740053540
86745,5/9/2024 to 5/15/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,142.0,2024-05-09,-0.16470588235294115,118.5,-59.45252352437982,1740053540,-0.45662100456620447,0001740053540
86746,5/16/2024 to 5/22/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1172.0,2024-05-16,7.253521126760564,389.5,228.69198312236287,1740053540,3.2110091743119185,0001740053540
86747,5/23/2024 to 5/29/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,871.0,2024-05-23,-0.2568259385665529,588.75,51.1553273427471,,,
86748,5/30/2024 to 6/5/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,105.0,2024-05-30,-0.8794489092996556,572.5,-2.7600849256900206,,,
135174,3/7/2024 to 3/13/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,127.0,2024-03-07,,127.0,,2780006794,,0002780006794
135175,3/14/2024 to 3/20/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,174.0,2024-03-14,0.3700787401574803,150.5,18.503937007874004,2780006794,-0.278551532033422,0002780006794
135176,3/21/2024 to 3/27/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,204.0,2024-03-21,0.17241379310344818,168.33333333333334,11.849390919158376,2780006794,0.27932960893854997,0002780006794
135177,3/28/2024 to 4/3/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,83.0,2024-03-28,-0.5931372549019608,147.0,-12.673267326732674,2780006794,-0.278551532033422,0002780006794
135178,4/4/2024 to 4/10/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,122.0,2024-04-04,0.4698795180722892,145.75,-0.8503401360544172,2780006794,0.27932960893854997,0002780006794
135179,4/11/2024 to 4/17/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,149.0,2024-04-11,0.22131147540983598,139.5,-4.288164665523153,2780006794,-0.278551532033422,0002780006794
135180,4/18/2024 to 4/24/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,214.0,2024-04-18,0.43624161073825496,142.0,1.7921146953405076,2780006794,0.27932960893854997,0002780006794
135181,4/25/2024 to 5/1/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,131.0,2024-04-25,-0.3878504672897196,154.0,8.450704225352123,2780006794,-0.278551532033422,0002780006794
135182,5/2/2024 to 5/8/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,104.0,2024-05-02,-0.20610687022900764,149.5,-2.922077922077926,2780006794,0.27932960893854997,0002780006794
135183,5/9/2024 to 5/15/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,91.0,2024-05-09,-0.125,135.0,-9.6989966555184,2780006794,-0.278551532033422,0002780006794
135184,5/16/2024 to 5/22/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,217.0,2024-05-16,1.3846153846153846,135.75,0.5555555555555536,2780006794,0.27932960893854997,0002780006794
135185,5/23/2024 to 5/29/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,154.0,2024-05-23,-0.29032258064516125,141.5,4.23572744014733,,,
135186,5/30/2024 to 6/5/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,222.0,2024-05-30,0.4415584415584415,171.0,20.848056537102465,,,
206882,3/7/2024 to 3/13/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),353.0,2024-03-07,,353.0,,4000000032,,0004000000032
206883,3/14/2024 to 3/20/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),404.0,2024-03-14,0.14447592067988668,378.5,7.223796033994345,4000000032,2.400000000000002,0004000000032
206884,3/21/2024 to 3/27/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),381.0,2024-03-21,-0.05693069306930698,379.3333333333333,0.22016732716865217,4000000032,-2.34375,0004000000032
206885,3/28/2024 to 4/3/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),324.0,2024-03-28,-0.14960629921259838,365.5,-3.64674868189806,4000000032,2.400000000000002,0004000000032
206886,4/4/2024 to 4/10/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),429.0,2024-04-04,0.3240740740740742,384.5,5.198358413132698,4000000032,8.59375,0004000000032
206887,4/11/2024 to 4/17/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),393.0,2024-04-11,-0.08391608391608396,381.75,-0.7152145643693153,4000000032,-7.913669064748197,0004000000032
206888,4/18/2024 to 4/24/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),417.0,2024-04-18,0.06106870229007644,390.75,2.357563850687616,4000000032,8.59375,0004000000032
206889,4/25/2024 to 5/1/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),359.0,2024-04-25,-0.1390887290167866,399.5,2.2392834293026187,4000000032,-7.913669064748197,0004000000032
206890,5/2/2024 to 5/8/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),463.0,2024-05-02,0.2896935933147633,408.0,2.127659574468077,4000000032,8.59375,0004000000032
